◇ injected env (3) from .env.local // tip: ⌘ override existing { override: true }
Bây giờ là: 6/14/2026, 8:14:20 AM
Có 99 trận pending/live.
- Ecuador vs Đức | Kickoff: 6/26/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -16966 phút
- Nhật Bản vs Thụy Điển | Kickoff: 6/26/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -17146 phút
- Tunisia vs Hà Lan | Kickoff: 6/26/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -17146 phút
- Thổ Nhĩ Kỳ vs Mỹ | Kickoff: 6/26/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -17326 phút
- Paraguay vs Úc | Kickoff: 6/26/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -17326 phút
- Senegal vs Iraq | Kickoff: 6/27/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -18346 phút
- Na Uy vs Pháp | Kickoff: 6/27/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -18346 phút
- Cape Verde vs Saudi Arabia | Kickoff: 6/27/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -18646 phút
- Uruguay vs Tây Ban Nha | Kickoff: 6/27/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -18646 phút
- New Zealand vs Bỉ | Kickoff: 6/27/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -18826 phút
- Ai Cập vs Iran | Kickoff: 6/27/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -18826 phút
- Panama vs Anh | Kickoff: 6/28/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -19906 phút
- Croatia vs Ghana | Kickoff: 6/28/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -19906 phút
- CHDC Congo vs Uzbekistan | Kickoff: 6/28/2026, 6:30:00 AM | Status: pending | Đã trôi qua: -20056 phút
- Colombia vs Bồ Đào Nha | Kickoff: 6/28/2026, 6:30:00 AM | Status: pending | Đã trôi qua: -20056 phút
- Jordan vs Argentina | Kickoff: 6/28/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -20206 phút
- Algeria vs Áo | Kickoff: 6/28/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -20206 phút
- Nhì bảng A vs Nhì bảng B | Kickoff: 6/29/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -21226 phút
- Nhất bảng C vs Nhì bảng F | Kickoff: 6/30/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -22546 phút
- Nhất bảng E vs Thứ 3 bảng A/B/C/D/F | Kickoff: 6/30/2026, 3:30:00 AM | Status: pending | Đã trôi qua: -22756 phút
- Nhất bảng F vs Nhì bảng C | Kickoff: 6/30/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -23026 phút
- Nhì bảng E vs Nhì bảng I | Kickoff: 7/1/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -23986 phút
- Nhất bảng I vs Thứ 3 bảng C/D/F/G/H | Kickoff: 7/1/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -24226 phút
- Nhất bảng A vs Thứ 3 bảng C/E/F/H/I | Kickoff: 7/1/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -24466 phút
- Nhất bảng L vs Thứ 3 bảng E/H/I/J/K | Kickoff: 7/1/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -25366 phút
- Nhất bảng G vs Thứ 3 bảng A/E/H/I/J | Kickoff: 7/2/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -25606 phút
- Nhất bảng D vs Thứ 3 bảng B/E/F/I/J | Kickoff: 7/2/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -25846 phút
- Nhất bảng H vs Nhì bảng J | Kickoff: 7/3/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -26986 phút
- Nhì bảng K vs Nhì bảng L | Kickoff: 7/3/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -27226 phút
- Nhất bảng B vs Thứ 3 bảng E/F/G/I/J | Kickoff: 7/3/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -27466 phút
- Nhì bảng D vs Nhì bảng G | Kickoff: 7/4/2026, 1:00:00 AM | Status: pending | Đã trôi qua: -28366 phút
- Nhất bảng J vs Nhì bảng H | Kickoff: 7/4/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -28606 phút
- Nhất bảng K vs Thứ 3 bảng D/E/I/J/L | Kickoff: 7/4/2026, 8:30:00 AM | Status: pending | Đã trôi qua: -28816 phút
- Thắng trận 73 vs Thắng trận 75 | Kickoff: 7/5/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -29746 phút
- Thắng trận 74 vs Thắng trận 77 | Kickoff: 7/5/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -29986 phút
- Thắng trận 76 vs Thắng trận 78 | Kickoff: 7/6/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -31366 phút
- Thắng trận 83 vs Thắng trận 84 | Kickoff: 7/6/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -31546 phút
- Thắng trận 79 vs Thắng trận 80 | Kickoff: 7/6/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -31606 phút
- Thắng trận 81 vs Thắng trận 82 | Kickoff: 7/7/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -33046 phút
